temperature,humidity,pm25,co2,target
13.9,43.9,1158.0,521.0,0
14.0,43.8,1307.0,676.0,0
14.4,43.6,1464.0,880.0,0
15.0,41.7,1490.0,934.0,0
16.3,38.4,1343.0,780.0,0
18.3,32.3,1328.0,782.0,0
18.8,31.7,1311.0,772.0,0
19.6,30.9,1413.0,837.0,0
20.2,30.7,1436.0,851.0,0
19.7,32.5,1365.0,785.0,0
20.7,31.6,1395.0,810.0,0
20.0,32.7,1410.0,832.0,0
18.6,35.4,1625.0,1003.0,0
18.3,35.9,1685.0,1114.0,0
17.8,37.5,1616.0,1068.0,0
17.3,38.8,1496.0,950.0,0
17.3,38.8,1441.0,842.0,0
16.4,40.8,1359.0,778.0,0
16.0,41.4,1318.0,709.0,0
15.4,43.0,1225.0,601.0,0
15.7,42.5,1197.0,560.0,0
15.6,43.4,1212.0,557.0,0
15.5,47.3,1339.0,670.0,0
14.4,53.1,1593.0,935.0,0
15.9,48.5,2101.0,1389.0,1
18.1,40.3,2050.0,1398.0,1
19.6,35.9,1487.0,896.0,0
22.8,29.1,1455.0,908.0,0
24.8,25.3,1474.0,931.0,0
27.2,22.0,1651.0,1137.0,0
28.2,20.4,1779.0,1238.0,0
25.4,24.2,1560.0,1048.0,0
25.7,23.8,1651.0,1142.0,0
27.2,22.1,1592.0,1066.0,0
27.0,22.3,1689.0,1164.0,0
24.5,27.8,1798.0,1231.0,1
23.7,30.2,1955.0,1341.0,1
21.5,34.5,1849.0,1266.0,1
19.9,37.8,1651.0,1066.0,0
18.9,40.6,1511.0,932.0,0
17.9,43.5,1608.0,1012.0,0
17.4,46.3,1504.0,899.0,0
18.1,44.7,1396.0,735.0,0
16.5,50.1,1359.0,639.0,0
16.3,52.8,1345.0,619.0,0
13.9,60.7,1539.0,880.0,0
15.0,58.3,2396.0,1560.0,1
16.1,54.8,2112.0,1351.0,1
19.3,46.4,2155.0,1423.0,1
24.2,33.8,1903.0,1252.0,1
26.7,28.7,1850.0,1205.0,1
27.4,28.2,1741.0,1123.0,1
28.1,26.9,1787.0,1170.0,1
27.7,26.5,1969.0,1348.0,1
28.4,23.4,1890.0,1318.0,1
28.4,26.0,1750.0,1185.0,1
27.3,30.0,1878.0,1292.0,1
24.3,37.3,2226.0,1525.0,1
23.1,42.2,2252.0,1510.0,1
21.8,43.6,2117.0,1426.0,1
19.8,46.8,1740.0,1088.0,1
19.6,49.8,1575.0,923.0,0
17.9,56.2,1662.0,960.0,0
17.4,55.6,1574.0,891.0,0
16.8,59.5,1495.0,772.0,0
15.9,60.1,1409.0,639.0,0
13.3,67.0,1470.0,734.0,0
12.9,66.5,1620.0,956.0,0
14.8,61.3,2405.0,1547.0,1
16.1,56.5,2572.0,1690.0,1
18.6,47.8,1886.0,1241.0,1
23.8,30.2,1583.0,1009.0,0
25.4,25.0,1491.0,941.0,0
25.6,25.5,1716.0,1128.0,0
24.9,29.9,2037.0,1360.0,1
22.4,37.9,2023.0,1321.0,1
21.7,44.0,2151.0,1379.0,1
21.4,44.4,2069.0,1331.0,1
20.8,45.3,2176.0,1424.0,1
20.2,48.6,2312.0,1519.0,1
20.2,50.8,2488.0,1610.0,1
18.6,57.6,2046.0,1275.0,1
18.2,58.8,1931.0,1189.0,1
17.8,61.0,1856.0,1106.0,1
17.0,70.7,1876.0,1104.0,1
16.2,76.9,1823.0,1019.0,1
15.7,78.6,1696.0,884.0,0
15.7,78.4,1628.0,809.0,0
15.7,74.7,1563.0,738.0,0
15.9,73.1,1771.0,949.0,0
16.6,68.2,2033.0,1249.0,1
18.7,57.6,2065.0,1295.0,1
17.6,65.0,1970.0,1199.0,1
16.3,73.2,1833.0,1072.0,1
16.0,78.5,1889.0,1082.0,1
17.3,72.4,1973.0,1145.0,1
19.4,60.9,2061.0,1222.0,1
21.4,50.9,1939.0,1160.0,1
22.7,45.8,1971.0,1201.0,1
20.9,60.8,2139.0,1239.0,1
21.0,54.3,2133.0,1274.0,1
20.8,54.4,2162.0,1324.0,1
19.8,58.6,2356.0,1476.0,1
19.1,61.1,2100.0,1282.0,1
18.2,65.4,1951.0,1152.0,1
18.1,66.1,1927.0,1136.0,1
17.7,66.9,1872.0,1107.0,1
17.8,66.8,1936.0,1155.0,1
